email1,email2,topicid
Albert_Carey@msn.com,Alex_Carey@gmail.com,6
Albert_Carey@msn.com,Alex_Keit@gmail.com,6
Albert_Carey@msn.com,Alex_Peterson@gmail.com,6
Albert_Carey@msn.com,Bruno_Li@msn.com,6
Albert_Carey@msn.com,Bruno_Lomet@gmail.com,6
Albert_Carey@msn.com,Elena_Chrysler@msn.com,6
Albert_Carey@msn.com,Emma_Goldstein@yahoo.com,6
Albert_Carey@msn.com,Emma_Smith@hotmail.com,6
Albert_Carey@msn.com,Erie_DSouza@hotmail.com,6
Albert_Carey@msn.com,George_Lomet@msn.com,6
Albert_Carey@msn.com,Gina_Carey@gmail.com,6
Albert_Carey@msn.com,Mandy_Smith@gmail.com,6
Albert_Carey@msn.com,Mandy_Wood@msn.com,6
Albert_Carey@msn.com,Mary_Smith@gmail.com,6
Albert_Carey@msn.com,Monica_Lomet@hotmail.com,6
Albert_Carey@msn.com,Monica_Toddbridge@gmail.com,6
Albert_Carey@msn.com,Nadir_Wood@msn.com,6
Albert_Carey@msn.com,Roger_Lomet@msn.com,6
Albert_Carey@msn.com,Sam_DSouza@msn.com,6
Albert_Carey@msn.com,Sam_Helibron@yahoo.com,6
Albert_Carey@msn.com,Sarena_Carey@hotmail.com,6
Albert_Carey@msn.com,Sarena_Li@gmail.com,6
Albert_Carey@msn.com,Tom_Carey@msn.com,6
Albert_Carey@msn.com,Albert_Helibron@yahoo.com,8
Albert_Carey@msn.com,Albert_Karipova@gmail.com,8
Albert_Carey@msn.com,Albert_Li@gmail.com,8
Albert_Carey@msn.com,Alex_Carey@gmail.com,8
Albert_Carey@msn.com,Alex_Keit@gmail.com,8
Albert_Carey@msn.com,Betty_Wood@yahoo.com,8
Albert_Carey@msn.com,Bruno_Karipova@yahoo.com,8
Albert_Carey@msn.com,Charles_DSouza@gmail.com,8
Albert_Carey@msn.com,Christy_Helibron@hotmail.com,8
Albert_Carey@msn.com,Christy_Li@msn.com,8
Albert_Carey@msn.com,Christy_Lomet@yahoo.com,8
Albert_Carey@msn.com,Elena_Chrysler@msn.com,8
Albert_Carey@msn.com,Gabriela_Li@hotmail.com,8
Albert_Carey@msn.com,George_Goldstein@gmail.com,8
Albert_Carey@msn.com,Gina_Helibron@gmail.com,8
Albert_Carey@msn.com,Gina_Toddbridge@msn.com,8
